"Question","Exam","Truth","score_GPT4o","score_Claude37","score_Gemini20","score_Grok2-vision","score_Claude46","score_Gemini25","score_Claude4","score_Gemini31","score_GPT54","score_GPT51","score_GPT54-mini","score_GPT54-nano","score_GPT5","score_Grok41","score_Grok43","Model","Response","Response_clean","score_col","Score"
1,"CAOS","d",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"GPT4o","d","D","score_GPT4o",1
1,"CAOS","d",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Claude37","d","D","score_Claude37",1
1,"CAOS","d",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Gemini20","d","D","score_Gemini20",1
1,"CAOS","d",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Grok2-vision","d","D","score_Grok2-vision",1
1,"CAOS","d",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Claude46","d","D","score_Claude46",1
1,"CAOS","d",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Gemini25","d","D","score_Gemini25",1
1,"CAOS","d",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Claude4","d","D","score_Claude4",1
1,"CAOS","d",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Gemini31","d","D","score_Gemini31",1
1,"CAOS","d",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"GPT54","d","D","score_GPT54",1
1,"CAOS","d",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"GPT51","d","D","score_GPT51",1
1,"CAOS","d",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"GPT54-mini","d","D","score_GPT54-mini",1
1,"CAOS","d",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"GPT54-nano","d","D","score_GPT54-nano",1
1,"CAOS","d",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"GPT5","d","D","score_GPT5",1
1,"CAOS","d",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Grok41","d","D","score_Grok41",1
1,"CAOS","d",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Grok43","d","D","score_Grok43",1
2,"CAOS","b",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"GPT4o","a","A","score_GPT4o",0
2,"CAOS","b",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"Claude37","NC","NC","score_Claude37",0
2,"CAOS","b",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"Gemini20","NA","NA_RESP","score_Gemini20",0
2,"CAOS","b",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"Grok2-vision","a","A","score_Grok2-vision",0
2,"CAOS","b",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"Claude46","a","A","score_Claude46",0
2,"CAOS","b",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"Gemini25","a","A","score_Gemini25",0
2,"CAOS","b",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"Claude4","b","B","score_Claude4",1
2,"CAOS","b",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"Gemini31","a","A","score_Gemini31",0
2,"CAOS","b",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"GPT54","a","A","score_GPT54",0
2,"CAOS","b",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"GPT51","c","C","score_GPT51",0
2,"CAOS","b",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"GPT54-mini","a","A","score_GPT54-mini",0
2,"CAOS","b",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"GPT54-nano","a","A","score_GPT54-nano",0
2,"CAOS","b",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"GPT5","NC","NC","score_GPT5",0
2,"CAOS","b",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"Grok41","b","B","score_Grok41",1
2,"CAOS","b",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"Grok43","a","A","score_Grok43",0
3,"CAOS","b",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"GPT4o","c","C","score_GPT4o",0
3,"CAOS","b",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Claude37","c","C","score_Claude37",0
3,"CAOS","b",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Gemini20","b","B","score_Gemini20",1
3,"CAOS","b",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Grok2-vision","b","B","score_Grok2-vision",1
3,"CAOS","b",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Claude46","c","C","score_Claude46",0
3,"CAOS","b",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Gemini25","c","C","score_Gemini25",0
