"Exam","Question","QuestionID","Model_1","Model_2","Similarity"
"ACTM",1,"ACTM_MC_1","claude-3-7-sonnet","claude-sonnet-4",0.600335016083083
"ACTM",1,"ACTM_MC_1","claude-3-7-sonnet","claude-sonnet-4-6",0.355509017726595
"ACTM",1,"ACTM_MC_1","claude-3-7-sonnet","gemini-2.0-flash-lite",0.426659590442865
"ACTM",1,"ACTM_MC_1","claude-3-7-sonnet","gemini-2.5-flash-lite",0.603350182609817
"ACTM",1,"ACTM_MC_1","claude-3-7-sonnet","gemini-3.1-flash-lite-preview",0.350166500347204
"ACTM",1,"ACTM_MC_1","claude-3-7-sonnet","gpt-4o",0.551836502612488
"ACTM",1,"ACTM_MC_1","claude-3-7-sonnet","gpt-5",0.623864719508432
"ACTM",1,"ACTM_MC_1","claude-3-7-sonnet","gpt-5-4",0.681402231040087
"ACTM",1,"ACTM_MC_1","claude-3-7-sonnet","gpt-5.1",0.56490952564503
"ACTM",1,"ACTM_MC_1","claude-3-7-sonnet","gpt-5.4-mini",0.560928840460282
"ACTM",1,"ACTM_MC_1","claude-3-7-sonnet","gpt-5.4-nano",0.417880955213176
"ACTM",1,"ACTM_MC_1","claude-3-7-sonnet","grok-2-vision",0.297127218968785
"ACTM",1,"ACTM_MC_1","claude-3-7-sonnet","grok-4-1",0.586111017624618
"ACTM",1,"ACTM_MC_1","claude-3-7-sonnet","grok-4.3",0.0507871060114507
"ACTM",1,"ACTM_MC_1","claude-sonnet-4","claude-sonnet-4-6",0.385053269722151
"ACTM",1,"ACTM_MC_1","claude-sonnet-4","gemini-2.0-flash-lite",0.506276632005029
"ACTM",1,"ACTM_MC_1","claude-sonnet-4","gemini-2.5-flash-lite",0.577793607768951
"ACTM",1,"ACTM_MC_1","claude-sonnet-4","gemini-3.1-flash-lite-preview",0.361093632426744
"ACTM",1,"ACTM_MC_1","claude-sonnet-4","gpt-4o",0.67870535605828
"ACTM",1,"ACTM_MC_1","claude-sonnet-4","gpt-5",0.379435813928
"ACTM",1,"ACTM_MC_1","claude-sonnet-4","gpt-5-4",0.445346515049519
"ACTM",1,"ACTM_MC_1","claude-sonnet-4","gpt-5.1",0.606318185970985
"ACTM",1,"ACTM_MC_1","claude-sonnet-4","gpt-5.4-mini",0.418908140351039
"ACTM",1,"ACTM_MC_1","claude-sonnet-4","gpt-5.4-nano",0.402534225142986
"ACTM",1,"ACTM_MC_1","claude-sonnet-4","grok-2-vision",0.499069291086477
"ACTM",1,"ACTM_MC_1","claude-sonnet-4","grok-4-1",0.455852551712241
"ACTM",1,"ACTM_MC_1","claude-sonnet-4","grok-4.3",0.214631628800463
"ACTM",1,"ACTM_MC_1","claude-sonnet-4-6","gemini-2.0-flash-lite",0.202592858871213
"ACTM",1,"ACTM_MC_1","claude-sonnet-4-6","gemini-2.5-flash-lite",0.442996101552267
"ACTM",1,"ACTM_MC_1","claude-sonnet-4-6","gemini-3.1-flash-lite-preview",0.403203528445824
"ACTM",1,"ACTM_MC_1","claude-sonnet-4-6","gpt-4o",0.367732344031398
"ACTM",1,"ACTM_MC_1","claude-sonnet-4-6","gpt-5",0.301117922434751
"ACTM",1,"ACTM_MC_1","claude-sonnet-4-6","gpt-5-4",0.328393345362767
"ACTM",1,"ACTM_MC_1","claude-sonnet-4-6","gpt-5.1",0.387816122323987
"ACTM",1,"ACTM_MC_1","claude-sonnet-4-6","gpt-5.4-mini",0.273714046241041
"ACTM",1,"ACTM_MC_1","claude-sonnet-4-6","gpt-5.4-nano",0.262243293173457
"ACTM",1,"ACTM_MC_1","claude-sonnet-4-6","grok-2-vision",0.258917385183353
"ACTM",1,"ACTM_MC_1","claude-sonnet-4-6","grok-4-1",0.395667494325466
"ACTM",1,"ACTM_MC_1","claude-sonnet-4-6","grok-4.3",0.275937576533308
"ACTM",1,"ACTM_MC_1","gemini-2.0-flash-lite","gemini-2.5-flash-lite",0.645839244255826
"ACTM",1,"ACTM_MC_1","gemini-2.0-flash-lite","gemini-3.1-flash-lite-preview",0.569502706210665
"ACTM",1,"ACTM_MC_1","gemini-2.0-flash-lite","gpt-4o",0.529172594933715
"ACTM",1,"ACTM_MC_1","gemini-2.0-flash-lite","gpt-5",0.261346073694991
