"Question","Exam","Truth","GPT4o","Claude37","Gemini20","Grok2-vision","Claude46","Gemini25","Claude4","Gemini31","GPT54","GPT51","GPT54-mini","GPT54-nano","GPT5","Grok41","Grok43","score_GPT4o","score_Claude37","score_Gemini20","score_Grok2-vision","score_Claude46","score_Gemini25","score_Claude4","score_Gemini31","score_GPT54","score_GPT51","score_GPT54-mini","score_GPT54-nano","score_GPT5","score_Grok41","score_Grok43"
1,"CAOS","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,"CAOS","b","a","NC","NA","a","a","a","b","a","a","c","a","a","NC","b","a",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3,"CAOS","b","c","c","b","b","c","c","c","c","c","c","c","c","c","c","c",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4,"CAOS","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,"CAOS","d","NC","NC","a","b","d","a","NC","NC","b","NC","b","NC","NC","b","b",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,"CAOS","c","b","b","a","b","NC","b","b","c","c","c","b","c","NC","b","b",0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
7,"CAOS","d","a","a","a","c","a","d","a","a","a","a","a","a","a","a","a",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,"CAOS","a","a","a","a","a","a","a","a","a","b","a","a","a","a","a","a",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
9,"CAOS","d","a","a","d","a","a","a","a","b","e","a","e","b","a","e","b",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,"CAOS","c","a","b","a","a","b","a","b","c","c","c","b","a","c","a","a",0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
11,"CAOS","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
